;"Abrantes";"Beja";"Bragan&ccedil;a";"Castelo Branco";"Coimbra";"Elvas";"Évora";"Faro";"Funchal";"Junqueira";"Lisboa";"Meimoa";"Penhas Douradas";"Pocinho (esta&ccedil;&atilde;o submersa)";"Ponta Delgada";"Portalegre";"Porto";"Sines"
"07/01/2022 22:00";34.3;23.0;32.0;86.3;66.6;82.3;29.4;27.1;39.0;;58.2;63.4;129.0;20.1;77.7;90.0;119.0;40.8
"07/01/2022 23:00";34.3;23.1;32.4;86.7;66.7;81.8;29.6;26.1;39.3;;58.0;63.6;128.0;20.1;77.1;89.8;120.0;40.2
"08/01/2022 00:00";34.4;22.7;32.5;85.1;66.9;82.0;29.3;26.6;39.2;;58.1;;129.0;20.1;76.9;89.7;121.0;40.2
"08/01/2022 01:00";35.0;22.7;33.0;85.7;67.5;81.8;29.1;26.2;38.8;;57.6;;129.0;20.1;77.7;90.0;125.0;40.1
"08/01/2022 02:00";34.3;23.0;33.0;86.1;67.0;82.0;29.3;25.9;38.8;;57.7;;128.0;20.0;77.2;90.0;126.0;39.6
"08/01/2022 03:00";34.6;22.8;32.6;86.3;69.6;82.1;29.3;26.0;38.6;;57.9;;129.0;20.2;77.6;90.1;127.0;39.4
"08/01/2022 04:00";34.6;22.7;33.3;86.8;70.5;82.1;29.3;26.1;38.4;;57.8;;128.0;20.2;78.7;90.5;128.0;39.2
"08/01/2022 05:00";34.6;23.2;34.2;86.8;71.1;82.9;30.2;25.5;39.0;;57.5;;129.0;20.1;77.7;89.3;129.0;39.2
"08/01/2022 06:00";35.4;23.1;34.9;86.2;71.8;83.3;30.5;26.0;39.0;;58.6;;128.0;20.1;77.2;89.8;129.0;39.3
"08/01/2022 07:00";36.1;23.2;35.7;86.0;72.6;83.0;30.2;25.7;38.6;;58.4;;128.0;20.1;77.6;90.4;129.0;40.1
"08/01/2022 08:00";36.1;23.3;36.2;86.5;72.3;83.3;29.3;25.3;38.5;;57.9;;129.0;20.2;78.0;89.8;130.0;40.0
"08/01/2022 09:00";37.2;23.2;35.5;88.7;73.7;83.3;30.0;25.6;38.5;;57.7;;129.0;20.2;77.7;89.8;130.0;39.8
"08/01/2022 10:00";38.0;22.7;35.4;87.2;74.1;82.7;29.9;25.7;39.0;;57.9;;129.0;20.2;77.9;90.2;129.0;39.6
"08/01/2022 11:00";38.0;23.2;34.2;86.8;71.6;82.1;29.6;25.5;38.9;;58.1;72.3;129.0;20.2;77.9;90.1;128.0;40.1
"08/01/2022 12:00";37.6;22.2;31.6;86.4;71.1;82.4;29.6;25.4;38.9;;57.5;71.7;129.0;20.1;78.2;91.0;127.0;40.3
"08/01/2022 13:00";36.3;21.9;30.0;86.3;68.3;82.5;28.7;25.4;39.3;;57.4;72.8;129.0;20.1;78.2;91.1;125.0;40.4
"08/01/2022 14:00";34.1;22.2;29.4;86.6;68.1;82.3;28.9;26.4;39.2;;57.3;73.0;129.0;20.1;78.5;91.1;125.0;40.1
"08/01/2022 15:00";33.0;21.9;28.5;86.8;65.3;81.6;29.3;26.4;39.2;;57.8;71.9;129.0;20.1;78.5;90.9;122.0;39.7
"08/01/2022 16:00";32.1;21.7;29.0;86.8;63.1;81.2;28.8;26.2;39.6;;57.1;71.3;129.0;20.1;78.7;91.2;122.0;40.1
"08/01/2022 17:00";31.7;22.2;29.0;85.1;63.5;81.5;29.0;26.0;39.9;;56.6;71.7;130.0;20.0;78.1;91.8;122.0;39.7
"08/01/2022 18:00";32.3;22.4;29.2;85.6;64.4;81.5;29.0;25.8;39.8;;55.4;71.2;131.0;20.2;78.1;92.1;121.0;39.8
"08/01/2022 19:00";31.8;22.5;30.9;85.6;64.6;81.2;29.1;25.8;40.5;;55.6;70.5;130.0;20.3;77.7;91.5;122.0;40.1
"08/01/2022 20:00";31.9;22.6;30.9;86.5;64.8;80.8;27.9;26.2;40.4;;55.6;69.5;129.0;20.3;78.6;90.7;122.0;40.2
"08/01/2022 21:00";32.1;22.6;30.7;85.6;63.6;80.6;27.7;26.7;40.1;;55.4;68.6;129.0;20.2;78.3;90.0;121.0;39.4
"08/01/2022 22:00";31.6;21.6;30.8;86.4;64.0;80.3;27.6;26.7;40.2;;56.1;68.5;130.0;20.1;78.2;90.2;121.0;38.7
"08/01/2022 23:00";31.6;21.3;31.5;85.1;64.0;80.8;27.7;26.7;40.5;;55.1;69.2;129.0;20.1;78.5;91.0;121.0;39.1
"09/01/2022 00:00";31.8;21.2;33.3;84.3;63.6;80.9;27.5;27.2;39.9;;55.1;68.2;130.0;20.1;78.0;89.7;120.0;38.2
"09/01/2022 01:00";31.9;21.0;33.2;84.3;64.4;80.9;27.6;26.9;39.5;;55.7;69.2;129.0;20.1;78.4;90.3;121.0;38.5
"09/01/2022 02:00";32.8;21.0;33.0;84.6;63.8;80.5;27.4;26.5;39.4;;55.8;64.4;129.0;20.1;78.5;90.2;120.0;38.6
"09/01/2022 03:00";32.5;21.3;32.9;84.4;64.3;81.1;27.8;26.4;39.9;;55.3;;130.0;20.1;77.8;90.6;120.0;38.6
"09/01/2022 04:00";32.6;21.0;32.8;85.0;65.1;80.3;27.3;26.0;40.1;;55.5;;130.0;20.1;78.7;89.9;118.0;38.4
"09/01/2022 05:00";32.5;21.4;35.6;84.5;64.9;81.0;27.4;25.7;39.9;;55.4;;129.0;20.2;78.4;90.0;117.0;37.9
"09/01/2022 06:00";33.9;21.0;37.0;85.0;64.9;81.5;27.6;25.5;40.3;;54.9;;130.0;20.0;78.6;90.2;117.0;38.2
"09/01/2022 07:00";34.3;20.5;34.5;84.8;64.3;81.6;27.8;25.8;40.0;;55.2;;130.0;20.1;78.8;89.8;117.0;38.2
"09/01/2022 08:00";32.9;20.8;33.1;84.1;63.2;81.6;27.7;26.6;39.4;;55.2;;130.0;20.2;78.3;90.2;116.0;38.1
"09/01/2022 09:00";32.8;21.1;31.6;83.6;63.9;80.7;27.7;28.2;39.7;;55.4;;129.0;20.1;78.0;90.1;114.0;38.1
"09/01/2022 10:00";32.8;21.1;31.6;84.2;63.8;80.0;27.5;25.5;39.7;;54.8;;130.0;20.2;78.5;90.3;113.0;38.1
"09/01/2022 11:00";33.2;20.8;30.7;83.3;63.8;79.6;27.5;25.5;40.1;;55.0;72.3;129.0;20.1;78.1;90.6;113.0;38.0
"09/01/2022 12:00";32.5;21.4;30.5;83.9;63.8;79.6;26.4;25.2;40.2;;55.2;67.6;129.0;20.0;78.4;90.3;114.0;38.1
"09/01/2022 13:00";31.2;21.3;30.9;83.5;62.4;80.4;26.5;25.4;40.6;;55.1;60.2;129.0;20.1;77.6;90.2;115.0;38.7
"09/01/2022 14:00";30.2;21.5;30.2;82.9;61.9;80.4;26.8;25.2;40.4;;55.1;59.2;129.0;20.0;79.7;90.1;114.0;37.9
"09/01/2022 15:00";30.4;21.1;30.2;83.8;62.2;79.4;26.8;25.2;40.3;;55.2;59.0;129.0;20.0;79.9;89.9;;38.0
"09/01/2022 16:00";30.5;20.8;30.2;83.9;63.1;79.9;26.5;25.6;40.5;;55.1;58.8;129.0;19.9;79.3;90.1;113.0;38.2
"09/01/2022 17:00";30.7;21.2;29.9;84.1;62.3;80.1;26.4;25.2;40.3;;55.6;59.0;129.0;20.1;79.4;89.6;113.0;38.0
"09/01/2022 18:00";31.0;20.6;28.9;84.3;62.4;79.9;26.6;25.4;40.7;;55.0;58.0;129.0;19.9;78.2;89.7;114.0;38.2
"09/01/2022 19:00";30.9;20.7;29.1;84.3;62.2;79.9;27.0;25.6;40.6;;55.2;58.4;129.0;20.0;78.4;89.5;114.0;37.8
"09/01/2022 20:00";30.7;20.7;28.4;84.4;62.4;79.9;27.2;26.0;40.5;;55.5;58.5;129.0;20.0;78.2;89.4;115.0;38.1
